start	end	text	sentence_id
3.71	3.79	Act	1
3.99	4.19	one	1
4.651	4.931	monkey	1
4.951	5.011	in	1
5.051	5.111	the	1
5.151	5.391	middle	1
6.592	6.731999999999999	So	2
6.752	6.911999999999999	there	2
6.752	6.911999999999999	's	2
6.892	7.052	some	2
7.071999999999999	7.342	places	2
7.401999999999999	7.502	where	2
7.542	7.782	animals	2
7.901999999999999	8.081999999999999	almost	2
8.161999999999999	8.411999999999999	never	2
8.452	8.681999999999999	go	2
9.572	9.862	places	2
9.862	9.932	that	2
9.992	10.042	are	2
10.042	10.611999999999998	designed	2
10.732	10.962	by	2
11.002	11.582	humans	2
11.692	11.882	for	2
11.942	12.492	humans	2
13.092	13.312	This	3
13.392	13.712	act	3
14.142	14.372	ends	3
14.432	14.532	up	3
14.572	14.602	in	3
14.622	14.652	a	3
14.672	14.872	place	3
14.872	15.012	like	3
15.012	15.322	that	3
16.122	16.392	but	3
16.442	16.492	it	3
16.552	16.802	starts	3
16.822	16.972	about	3
16.972	17.052	as	3
17.092	17.232	far	3
17.291999999999998	17.412	from	3
17.432	17.562	there	3
17.562	17.652	as	3
17.712	17.782	you	3
17.782	17.902	can	3
17.902	18.162	get	3
19.052	19.242	Dana	4
19.242	19.542	Chivvis	4
19.562	20.072	explains	4
21.2339279296875	21.3239279296875	Our	5
21.3239279296875	21.6139279296875	story	5
21.6139279296875	21.9439279296875	begins	5
21.9439279296875	22.1939279296875	deep	5
22.1939279296875	22.2739279296875	in	5
22.293927929687506	22.3239279296875	the	5
22.3639279296875	23.0739279296875	rainforests	5
23.0939279296875	23.1939279296875	of	5
23.2139279296875	23.7739279296875	Indonesia	5
23.9139279296875	24.1039279296875	on	5
24.1139279296875	24.2139279296875	an	5
24.2339279296875	24.4839279296875	island	5
24.4839279296875	24.6739279296875	called	5
24.6739279296875	25.4239279296875	Sulawesi	5
26.1939279296875	26.2639279296875	A	6
26.3039279296875	26.4839279296875	few	6
26.4639279296875	26.7139279296875	years	6
26.7339279296875	27.0839279296875	ago	6
27.2539279296875	27.3239279296875	the	6
27.3239279296875	27.8339279296875	photographer	6
27.8339279296875	28.0939279296875	David	6
28.0939279296875	28.4439279296875	Slater	6
28.4439279296875	28.8239279296875	traveled	6
28.8239279296875	28.9839279296875	there	6
28.9839279296875	29.1439279296875	from	6
29.1639279296875	29.2739279296875	his	6
29.293927929687506	29.4539279296875	home	6
29.4539279296875	29.5239279296875	in	6
29.543927929687506	29.9639279296875	England	6
30.1639279296875	30.2539279296875	to	6
30.2539279296875	30.6839279296875	photograph	6
30.6839279296875	30.723927929687505	a	6
30.723927929687505	30.9239279296875	troop	6
30.9239279296875	31.0239279296875	of	6
31.0239279296875	31.4439279296875	monkeys	7
31.8098279296875	31.9898279296875	I	7
31.8098279296875	31.9898279296875	'd	7
31.9898279296875	32.1298279296875	gone	7
32.1298279296875	32.1598279296875	a	7
32.1598279296875	32.3398279296875	whole	7
32.3398279296875	32.6098279296875	day	7
32.6098279296875	32.799827929687495	just	7
32.799827929687495	33.1998279296875	following	7
33.1998279296875	33.439827929687496	them	7
33.6956279296875	33.8256279296875	Mm	7
33.8053279296875	33.9953279296875	into	7
33.9953279296875	34.0553279296875	the	7
34.0953279296875	34.3153279296875	thick	7
34.3353279296875	34.3953279296875	of	7
34.3953279296875	34.4553279296875	the	7
34.4553279296875	35.0753279296875	forest	7
35.5153279296875	35.6753279296875	through	7
35.6753279296875	35.7453279296875	the	7
35.7453279296875	36.3853279296875	tangles	7
36.4253279296875	36.545327929687495	and	7
36.545327929687495	36.6653279296875	the	7
36.7053279296875	37.5353279296875	vines	7
37.5353279296875	37.6453279296875	and	7
37.685327929687496	38.01532792968749	the	7
38.295327929687495	38.5253279296875	muddy	7
38.58532792968749	39.33532792968749	undergrowth	7
39.33532792968749	39.44532792968749	and	7
39.4653279296875	39.6353279296875	the	7
39.8153279296875	40.4653279296875	cobwebs	7
40.4653279296875	40.5653279296875	and	7
40.5653279296875	40.685327929687496	the	7
41.185327929687496	41.8153279296875	poisonous	7
41.795327929687495	42.405327929687495	snakes	7
42.405327929687495	42.58532792968749	and	7
42.37532792968749	42.62532792968749	Oh	8
42.6053279296875	42.9153279296875	man	8
43.0942279296875	43.2342279296875	you	8
43.2342279296875	43.4942279296875	name	8
43.534227929687496	43.6342279296875	it	8
43.65422792968749	43.754227929687495	I	9
43.754227929687495	43.8842279296875	had	9
43.8842279296875	44.04422792968749	to	9
49.3542279296875	49.504227929687495	I	10
49.5242279296875	49.684227929687495	I	10
49.7042279296875	49.864227929687495	I	10
49.8842279296875	50.0642279296875	was	10
50.1042279296875	50.144227929687496	a	10
50.1642279296875	50.6342279296875	monkey	10
50.65422792968749	51.1742279296875	honestly	10
51.9441279296875	52.124127929687496	I	11
52.124127929687496	52.2641279296875	I	11
52.2841279296875	52.414127929687496	had	11
52.42412792968749	52.5341279296875	I	11
